"","site","latitude","longitude","N","npp.mean","npp.sd","npp.cv"
"1","10_359170",47.4,-95.12,11,5812.72727272727,805.917376771228,0.138647030723859
"2","18_335699",44.33,-112.33,11,2390.27272727273,183.541325542283,0.0767867714207245
"3","39_407478",43.91,-71.75,11,6849.72727272727,434.999561128305,0.0635061140113257
"4","41_453357",39.5,-82.48,11,7410.54545454545,1522.06421439021,0.205391657567744
"5","42_605049",51.2965,-0.38352,11,7107,935.187467837331,0.131586811289902
"6","44_296972",44.33,-122.33,11,8045.36363636364,653.78119776073,0.0812618580477523
"7","46_600642",51.698,-5.277,11,9195.36363636364,721.4372145554,0.078456626957354
"8","47_299283",50.84545,-107.446257,11,2979.27272727273,363.799145383573,0.122110051239451
"9","51_2143181",61.9241,25.7482,11,6107.81818181818,556.644378069485,0.0911363700587077
"10","56_433453",34.2,-106.43,11,1731.63636363636,190.576636934999,0.110055806713828
"11","57_400055",43.9928,-89.4946,11,5783.27272727273,374.050555649658,0.0646780072960614
"12","59_470660",30.3226,-103.501,11,2844.90909090909,480.966621408483,0.169062211142497
"13","60_2844548",9.1521,-79.8465,11,9578.18181818182,712.14799279108,0.07435106226938
"14","63_594109",52.4221,-0.180928,11,5065.09090909091,389.828796921278,0.0769638302486549
"15","67_1485215",-28.62,16.46,11,2234,330.23960998039,0.147824355407516
"16","67_1561066",-33.97,25.055,11,1648.54545454545,64.4784671597637,0.0391123380808096
"17","67_1511451",-32.08,18.32,11,5654.72727272727,408.213691810819,0.0721898107764864
"18","67_1512909",-32.22,18.35,11,5476.36363636364,444.363201160328,0.0811420188041768
"19","67_1513632",-32.78,18.1775,11,7678.18181818182,380.055474419674,0.0494981082005259
"20","67_1514361",-32.8425,18.235,11,5899.81818181818,346.980062303821,0.0588119924395518
"21","67_1519466",-33.29,18.75,11,5474.90909090909,460.038575457636,0.0840267057989173
"22","67_1520185",-34.13,18.35,11,10146,1001.44835113949,0.0987037602148126
"23","67_1520915",-34.096,18.466,11,10527.1818181818,463.07317309078,0.0439883324035491
"24","67_1520921",-33.63,18.765,11,6703.45454545455,512.801396963067,0.0764980792345024
"25","67_1522381",-33.665,18.96,11,8408.54545454545,220.741642485673,0.0262520603211279
"26","67_1523105",-34.085,18.82,11,7155.54545454545,340.421316499529,0.0475744747429816
"27","67_1523834",-34.16,18.9,11,7568.54545454545,400.242017693386,0.0528822902758696
"28","67_1525296",-34.02,19.21,11,4269.27272727273,430.594958379471,0.100859089097018
"29","67_1534051",-34.43,20.37,11,6934.27272727273,532.032158973326,0.0767250121098966
"30","67_1536313",-28.67,24.17,11,1822.36363636364,217.227195685657,0.119200795796779
"31","67_1536319",-28.18,24.48,11,2333.54545454545,297.297280053607,0.127401538064968
"32","67_1537049",-28.21,24.52,11,2018.45454545455,282.858750487364,0.140136299390218
"33","67_1537782",-27.91667,24.75333,11,2889.36363636364,502.304543624139,0.1738460806049
