"mod","dAIC_Jtutrendrem0","dAIC_Jbetatrendrem0","dAIC_Horntrendrem0","dAIC_Jtutrendz","dAIC_Jbetatrendz","dAIC_Horntrendz","dAIC_Jtuexp","dAIC_Jbetaexp","dAIC_Hornexp","dAIC_Jtumm","dAIC_Jbetamm","dAIC_Hornmm"
"full",0,0,0,0,0,0,0,0,0,0,0,0
"-temptrend_abs.sc",62.2007279108511,80.3280362336664,112.117619398457,29.8852362160105,305.148851968581,210.515860226471,29.646938027232,72.7609667429933,56.8277616463893,35.1372318019276,35.9403730073245,76.2525217602961
"-temptrend_abs.sc*REALM",NA,13.5408326874312,2.2425091957557,-4.45663629972842,2.88912384724244,NA,22.2246952350251,NA,38.6483666434069,40.7924410172855,NA,58.7190131243551
"-temptrend_abs.sc*tsign",-23.3966318020539,8.30971601742203,26.6812822580978,7.95574584382121,-2.4582723416388,NA,5.05038909328869,15.6737018310232,7.65958687837701,-3.80700370931299,NA,-0.223689735401422
"-temptrend_abs.sc*tempave_metab.sc",-28.9927632095059,31.146571749734,NA,37.6534140905133,43.2422703071497,NA,38.1202881213394,42.941555959871,NA,127.368287282705,NA,341.38412009686
"-temptrend_abs.sc*seas.sc",NA,-2.58510403710534,11.6469985204167,5.23666625702754,11.1566417582799,15.5011307508685,20.0987204597332,NA,28.1472412360017,46.1012778670411,NA,112.135872628656
"-temptrend_abs.sc*microclim.sc",3.09844922131742,12.35657882347,-2.50485675552045,-0.0275373916374519,-0.392699006479234,NA,24.8226107190712,11.1933986066724,NA,1.5393081001821,NA,35.0506541172508
"-temptrend_abs.sc*mass.sc",-32.4372280389071,3.56246542895678,-1.7724567920377,-2.41821426455863,-3.09543027402833,NA,-0.826275429630186,-3.81889357516775,-3.06008781952551,-0.655644236889202,NA,-1.51101134711644
"-temptrend_abs.sc*speed.sc",NA,-0.175505010935012,-1.55590219586156,3.11149019212462,0.913063531974331,0.862596372142434,-3.86276486900169,NA,32.6971458475164,-1.76941465359414,NA,47.0579398394329
"-temptrend_abs.sc*consumerfrac.sc",NA,4.86864872428123,112.57761511745,6.12974471761845,-2.20503542409278,NA,4.7509945105412,NA,NA,-2.45773708651541,NA,17.6927302233526
"-temptrend_abs.sc*nspp.sc",-41.268152286968,0.833924845355796,-2.48264571081381,113.164583505248,197.883375952952,NA,288.170884906081,570.712061911821,233.325112054183,556.785788291076,NA,159.311939815467
"-temptrend_abs.sc*thermal_bias.sc:tsign",-41.1694312523759,-2.31624234712217,1.97162299710908,7.82665525574703,NA,8.39619255671278,4.28246011096053,3.00937909277854,-0.731361118028872,7.51264855568297,NA,2.89701597759267
"-temptrend_abs.sc*npp.sc",NA,7.04978686783579,5.0155831699376,15.6938928562449,4.61864913906902,2.14636371051893,-3.87384604581166,-1.01861072998145,1.95206955738831,-0.759597814758308,NA,2.40494964027312
"-temptrend_abs.sc*veg.sc",NA,0.119451520266011,-0.642664183746092,-3.16679252171889,2.6966694733128,6.110413426999,1.37181450310163,-2.86641302128555,13.4485193441797,-2.97242128098151,NA,3.37072729947977
"-temptrend_abs.sc*duration.sc",NA,14.2669867995137,7.6351795719529,19.4448008801555,32.2482412711252,8.29843601537868,NA,905.094728389755,631.370816922194,530.187635612383,NA,196.624798788573
"-temptrend_abs.sc*human_bowler.sc:REALM2",-23.6750583278481,-5.41554476812598,4.77716919768136,-1.41942432592623,-1.7762558395043,NA,2.35984313680092,0.938409834634513,15.8953935496102,-4.46102920157136,NA,20.3709220967139
