"center","scale","var","log","plus"
"13.7766125884397","7.24765180872015","tempave.sc",FALSE,0
"20.4354714468023","12.399344493334","tempave_metab.sc",FALSE,0
"4.5444850213155","2.40428026356295","seas.sc",FALSE,0
"-2.09168682313845","1.00975074129995","microclim.sc",TRUE,0
"0.0078370788095481","0.322262279132117","tempchange.sc",FALSE,0
"0.233683369743009","0.222048090266938","tempchange_abs.sc",FALSE,0
"8.55412538317749","3.71288571111008","mass.sc",TRUE,0
"3.24017723679417","1.01471893870209","speed.sc",TRUE,1
"2.62631623903211","1.36037190951026","lifespan.sc",FALSE,0
"0.942544859978899","0.197905679598204","consumerfrac.sc",FALSE,0
"0.239647144832603","0.422979327004022","endothermfrac.sc",FALSE,0
"3.05261303441679","0.89067956573799","nspp.sc",TRUE,0
"0.900902395833763","3.56120951680096","thermal_bias.sc",FALSE,0
"6.90165758438681","0.653751140380958","npp.sc",TRUE,0
"0.0693535562464823","0.179921960560547","veg.sc",TRUE,1
"1.33333333333333","0.471409308932733","duration.sc",FALSE,0
"0.231049060186648","0.326756033376436","durationlog.sc",TRUE,0
"1.04238005769606","0.743235288711686","human_bowler.sc",TRUE,1
"2.31841192458038","1.04290220600384","human_footprint.sc",TRUE,0
