"","df","AIC","dAIC","dAICnull"
"modInitlin",14,-295833.42231502,1074.80010232341,0
"modRealmlin",16,-295830.082554069,1078.13986327348,3.33976095006801
"modTaxamod2lin",28,-295814.700638537,1093.52177880623,18.721676482819
"modTchangeYearlin",27,-295852.103189234,1056.11922810855,-18.6808742148569
"modTchangeTaveYearlin",45,-296908.222417343,0,-1074.80010232341
