"","df","AIC","dAIC","dAICnull"
"modInitGainLossAllJtu",10,-6959488.403571,2151.79539717734,0
"modRealmInitGainLossAllJtu",12,-6959486.48914072,2153.70982746314,1.91443028580397
"modTaxamod2InitGainLossAllJtu",18,-6959478.59871112,2161.60025705677,9.80485987942666
"modsdTRealmtsignInitGainLossAllJtu",16,-6959768.42904241,1871.76992576942,-280.02547140792
"modabsLatsdTabsLatRealmtsignInitGainLossAllJtu",28,-6961543.79062164,96.4083465402946,-2055.38705063704
"modrawTsdTTRealmtsignInitGainLossAllJtu",28,-6961640.19896818,0,-2151.79539717734
