"","df","AIC","dAIC","dAICnull"
"modAllJtu",11,-7187120.67565817,513.143072783947,0
"modrawTsdTTRealmtsignAllJtu",31,-7187617.97954145,15.8391894958913,-497.303883288056
"modrawTsdTTRealmtsignmicroclimAllJtu",37,-7187633.81873095,0,-513.143072783947
"modrawTsdTTRealmtsignhumanAllJtu",37,-7187620.04974749,13.7689834637567,-499.37408932019
