"","modnms","Model","Dissimilarity","freshwater","marine","terrestrial"
"1","modInitAllJtu","Year","Jaccard",-0.79,0.152,2.63
"2","modRealmInitAllJtu","Realm x Year","Jaccard",-0.79,0.152,2.63
"3","modTaxamod2InitAllJtu","Taxon x Year","Jaccard",-0.79,0.152,2.63
"4","modsdTRealmtsigninitAllJtu","Tchange x Realm Year","Jaccard",-0.79,0.151,2.63
"5","modrawTsdTTRealmtsigninitAllJtu","Tchange x Tave x Realm x Year","Jaccard",-0.785,0.147,2.63
"6","modInitAllHorn","Year","Morisita-Horn",0.179,0.118,2.15
"7","modRealmInitAllHorn","Realm x Year","Morisita-Horn",0.184,0.113,2.15
"8","modTaxamod2InitAllHorn","Taxon x Year","Morisita-Horn",0.184,0.113,2.15
"9","modsdTRealmtsigninitAllHorn","Tchange x Realm Year","Morisita-Horn",0.185,0.112,2.15
"10","modrawTsdTTRealmtsigninitAllHorn","Tchange x Tave x Realm x Year","Morisita-Horn",0.185,0.112,2.15
