"","df","AIC","dAIC","dAICnull"
"modInit",16,703138.359970088,1189.70263340266,0
"modRealmYear",18,703142.277567619,1193.62023093388,3.9175975312246
"modTaxonYear",30,703162.301345718,1213.6440090324,23.9413756297436
"modTchange",23,703077.847939716,1129.19060303003,-60.5120303726289
"modTchangeYear",29,703055.952756031,1107.29541934538,-82.4072140572825
"modLatYear",47,702049.953531956,101.296195270261,-1088.4064381324
"modTchangeTave",41,701989.324167982,40.6668312961701,-1149.03580210649
"modTchangeTaveYear",47,701948.657336686,0,-1189.70263340266
