"","speciesname","REALM","X..0.","X.10.","X.25.","X.50.","X.75.","X.90.","X100.","nrecs","STR"
"1","Acanthoica quattrospina","Marine",3.57674646377563,7.63709982917282,11.3014644022683,19.1967269845552,22.4546543179587,24.3519844296492,28.0627784729004,1041,16.7148846004764
"2","Acer rubrum","Terrestrial",-4.2386040687561,1.86948644637457,6.25907408844285,11.3123290802161,16.2185162466539,19.5601067902201,24.4099401186095,9994,17.6906203438455
"3","Acer saccharum","Terrestrial",-1.86659371852875,1.81232807809786,4.69249363787757,7.96572390717415,11.0491087865666,13.1559580875657,17.3991241455078,9988,11.3436300094678
"4","Acer spicatum","Terrestrial",-8.53866672515869,-1.36344949751057,0.284968499069172,2.93510290375364,5.92619685387374,7.75259173165571,9.94643783569336,5855,9.11604122916628
"5","Achillea millefolium","Terrestrial",-10.2096872329712,-3.23732443905352,-0.249401660004578,4.2565111814641,9.01731060018005,12.5619000469443,18.2450942993164,10000,15.7992244859978
"6","Achnatherum hymenoides","Terrestrial",-1.3408020734787,3.38682379012885,5.94420430597942,8.92144055629299,13.0106902009714,16.9354142599739,23.2264995574951,3526,13.548590469845
"7","Allium textile","Terrestrial",0.966333389282227,2.33198947847391,3.43389837629749,5.84151200881665,8.03540128041454,9.77896066665963,14.4891662597656,1699,7.44697118818572
"8","Amelanchier laevis","Terrestrial",-0.42916664481163,2.08152354277313,4.2171716018906,6.39967759093486,8.54038265261165,10.2095602730062,12.5803232192993,3880,8.12803673023307
"9","Arabis holboellii","Terrestrial",-15.0720205307007,-8.85678786675513,-5.13734725370467,-0.705991005314702,3.78179922351512,7.53367452806139,15.8448858261108,1030,16.3904623948165
"10","Arnica fulgens","Terrestrial",-1.78996872901917,1.07839314960736,2.22921428868066,3.76535584378325,6.36139112151317,7.98350079519474,10.5902814865112,845,6.90510764558738
"11","Artemisia tripartita","Terrestrial",-2.88599991798401,2.39552602701131,4.32791408977847,6.27661023994197,7.70199429120426,8.83357773872804,11.527364730835,427,6.43805171171673
"12","Astragalus convallarius","Terrestrial",0.248239517211914,4.30489824481019,5.81497371361,7.25135892348231,8.50999198110709,9.44949858248819,11.3314580917358,835,5.144600337678
"13","Astragalus filipes","Terrestrial",0.841968655586243,5.43336064772943,6.94531302001868,8.41691216727721,9.79863646758893,10.8304833113521,12.9914064407349,1257,5.39712266362267
"14","Astragalus lentiginosus","Terrestrial",1.81857299804688,7.51206836330104,9.51869945131727,12.9955687657014,17.1271028869224,20.8127469257415,25.7320213317871,7436,13.3006785624405
"15","Balsamorhiza sagittata","Terrestrial",-1.68084371089935,2.40725409325139,4.3960922412033,6.47291952392836,8.23985798407627,9.66833874973551,12.3565311431885,2475,7.26108465648412
"16","Betula papyrifera","Terrestrial",-17.3195419311523,-10.9387952802504,-6.31770719286208,-1.80445612247946,2.18631154498931,5.41821905848352,10.54518699646,9394,16.3570143387339
"17","Calochortus macrocarpus","Terrestrial",-0.904197931289673,4.09302757124667,6.136640331132,7.67017645709843,9.14272177745319,10.2736269833784,12.352635383606,892,6.18059941213173
"18","Carex douglasii","Terrestrial",-3.1215832233429,1.53470495944602,2.93351813124215,5.78071286661287,8.48199955095344,10.3615692851485,13.2473754882812,1723,8.82686432570248
"19","Castilleja angustifolia","Terrestrial",0.277979165315628,6.44977979447467,8.45989552481506,11.507085289297,15.6600853950291,18.4163491402403,23.7017192840576,3612,11.9665693457656
"20","Cerataulina pelagica","Marine",7.05615520477295,17.321142684369,20.7137324360744,24.8970558915254,27.4318846087802,28.5990333557129,29.7484264373779,27534,11.2778906713439
"21","Ceratium furca","Marine",3.72719192504883,8.14277667101229,11.7622777415779,17.518091240883,21.2692677841822,23.1247275310326,25.1533660888672,86175,14.9819508600203
"22","Ceratium fusus","Marine",0.641241192817688,6.78188090602077,10.4034381066404,16.5630394936787,20.6994397489553,22.6618211547679,24.4188996125855,112456,15.8799402487471
"23","Ceratium horridum","Marine",1.71298551559448,7.45290782788021,10.3722467273036,15.5105104147512,19.3800192537006,21.1952643804055,22.9451547943982,31644,13.7423565525253
"24","Ceratium tripos","Marine",1.21586167812347,7.5530068398001,10.9893185371077,16.7312017110854,20.6016521972236,22.4506617465872,24.0015163421631,74111,14.8976549067871
"25","Chaetoceros densus","Marine",-0.892582833766937,8.83837830068883,14.9960472940271,24.5539612400625,28.3655433654785,28.9715710985226,29.6067333221436,5214,20.1331927978338
