Phylum,Class,Freshwater,Marine,Terrestrial,Sum,TaxGroup1
Chordata,Amphibia,15,0,83,98,Amphibians
Annelida,Polychaeta,0,17977,0,17977,Annelids
Annelida,Clitellata,0,286,0,286,Annelids
Chordata,Aves,0,20471,27143,47614,Birds
Mollusca,Bivalvia,1,7109,0,7110,Bivalves and infauna
Mollusca,Scaphopoda,0,253,0,253,Bivalves and infauna
Mollusca,Caudofoveata,0,26,0,26,Bivalves and infauna
Mollusca,Cephalopoda,0,981,0,981,Cephalopods
Arthropoda,Hexanauplia,63,11883,0,11946,Crustacea
Cnidaria,Hydrozoa,0,6966,0,6966,Corals anemones and jellyfish
Cnidaria,Anthozoa,0,2742,0,2742,Corals anemones and jellyfish
Cnidaria,Scyphozoa,0,109,0,109,Corals anemones and jellyfish
Cnidaria,Staurozoa,0,12,0,12,Corals anemones and jellyfish
Arthropoda,Malacostraca,0,19389,3,19392,Crustacea
Arthropoda,Maxillopoda,0,285,0,285,Crustacea
Cyanobacteria,Cyanophyceae,31,13,0,44,Cyanobacteria
Chordata,Actinopterygii,1015,68818,0,69833,Fish
Chordata,Elasmobranchii,0,6312,0,6312,Fish
Chordata,Holocephali,0,582,0,582,Fish
Chordata,Myxini,0,114,0,114,Fish
Chordata,Cephalaspidomorphi,1,60,0,61,Fish
Ascomycota,Lecanoromycetes,0,115,128,243,Fungi
Ascomycota,Eurotiomycetes,0,52,0,52,Fungi
Ascomycota,Lichinomycetes,0,38,0,38,Fungi
Basidiomycota,Agaricomycetes,0,14,3,17,Fungi
Mollusca,Gastropoda,0,6110,18,6128,Gastropods
Hemichordata,Enteropneusta,0,26,0,26,Hemichordata
Arthropoda,Insecta,40,72,1356,1468,Insects
Marchantiophyta,Jungermanniopsida,0,0,40,40,Liverworts
Chlorophyta,Ulvophyceae,0,1099,0,1099,Macroalgae
Chlorophyta,Prasinophyceae,0,93,0,93,Macroalgae
Chlorophyta,Trebouxiophyceae,6,18,0,24,Macroalgae
Chlorophyta,Mamiellophyceae,0,11,0,11,Macroalgae
Chlorophyta,Chlorophyceae,10,8,0,18,Macroalgae
Chlorophyta,Nephroselmidophyceae,0,3,0,3,Macroalgae
Cryptophyta,Cryptophyceae,4,146,0,150,Macroalgae
Cryptophyta,Katablepharidaceae,0,38,0,38,Macroalgae
Delesseria sinuosa,NULL,0,1,0,1,Macroalgae
Ochrophyta,Bacillariophyceae,24,5827,0,5851,Macroalgae
Ochrophyta,Phaeophyceae,0,1138,0,1138,Macroalgae
Ochrophyta,Dictyochophyceae,0,229,0,229,Macroalgae
Ochrophyta,Chrysophyceae,1,54,0,55,Macroalgae
Ochrophyta,Raphidophyceae,0,10,0,10,Macroalgae
Rhodophyta,Florideophyceae,0,2531,0,2531,Macroalgae
Rhodophyta,Bangiophyceae,0,78,0,78,Macroalgae
Rhodophyta,Compsopogonophyceae,0,19,0,19,Macroalgae
Solenicola,Solenicola setigera,0,43,0,43,Macroalgae
Chordata,Mammalia,0,2459,391,2850,Mammals
Bryophyta,Bryopsida,0,0,125,125,Mosses
Bryophyta,Sphagnopsida,0,0,14,14,Mosses
Arthropoda,Ostracoda,0,2123,0,2123,Other invertebrates
Arthropoda,Pycnogonida,0,241,0,241,Other invertebrates
Arthropoda,Branchiopoda,74,180,0,254,Other invertebrates
Arthropoda,Entognatha,0,22,0,22,Other invertebrates
Arthropoda,Merostomata,0,22,0,22,Other invertebrates
Arthropoda,Cephalocarida,0,11,0,11,Other invertebrates
Arthropoda,Arachnida,0,0,2,2,Other invertebrates
Brachiopoda,Craniata,0,10,0,10,Other invertebrates
Brachiopoda,Lingulata,0,9,0,9,Other invertebrates
Brachiopoda,Rhynchonellata,0,9,0,9,Other invertebrates
Bryozoa,Gymnolaemata,0,2767,0,2767,Other invertebrates
Bryozoa,Stenolaemata,0,296,0,296,Other invertebrates
Cephalorhyncha,Priapulida,0,35,0,35,Other invertebrates
Cercozoa,Imbricatea,0,18,0,18,Other invertebrates
Chordata,Ascidiacea,0,913,0,913,Other invertebrates
Echinodermata,Asteroidea,0,1899,0,1899,Other invertebrates
Echinodermata,Echinoidea,0,1010,0,1010,Other invertebrates
Echinodermata,Ophiuroidea,0,881,0,881,Other invertebrates
Echinodermata,Holothuroidea,0,571,0,571,Other invertebrates
Echinodermata,Crinoidea,0,65,0,65,Other invertebrates
Entoprocta,Pedicellinidae,0,11,0,11,Other invertebrates
Euglenozoa,Euglenoidea,0,56,0,56,Other invertebrates
Foraminifera,Monothalamea,0,12,0,12,Other invertebrates
Foraminifera,Globothalamea,0,5,0,5,Other invertebrates
Foraminifera,Tubothalamea,0,4,0,4,Other invertebrates
Mollusca,Polyplacophora,0,167,0,167,Other invertebrates
Nemertea,Palaeonemertea,0,74,0,74,Other invertebrates
Nemertea,Pilidiophora,0,54,0,54,Other invertebrates
Nemertea,Hoplonemertea,0,50,0,50,Other invertebrates
Phoronida,Phoronidae,0,90,0,90,Other invertebrates
Platyhelminthes,Polycladida,0,9,0,9,Other invertebrates
Porifera,Demospongiae,0,760,0,760,Other invertebrates
Porifera,Calcarea,0,141,0,141,Other invertebrates
Porifera,Homoscleromorpha,0,14,0,14,Other invertebrates
Rotifera,Eurotatoria,54,19,0,73,Other invertebrates
Sipuncula,Sipunculidea,0,218,0,218,Other invertebrates
Sipuncula,Phascolosomatidea,0,82,0,82,Other invertebrates
Haptophyta,Prymnesiophyceae,0,1434,0,1434,Phytoplankton
Sarcomastigophora,Phytomastigophora,0,21,0,21,Phytoplankton
Chordata,Reptilia,0,976,37,1013,Reptiles
Tracheophyta,Liliopsida,0,141,592,733,Vascular plants
Tracheophyta,Magnoliopsida,0,14,2414,2428,Vascular plants
Tracheophyta,Pinopsida,0,0,133,133,Vascular plants
Tracheophyta,Polypodiopsida,0,0,26,26,Vascular plants
Tracheophyta,Lycopodiopsida,0,0,11,11,Vascular plants
Tracheophyta,Cycadopsida,0,0,1,1,Vascular plants
Tracheophyta,Gnetopsida,0,0,1,1,Vascular plants
Chordata,Leptocardii,0,47,0,47,Vertebrate
Bigyra,Bikosea,0,6,0,6,Zooplankton
Chaetognatha,Sagittoidea,0,685,0,685,Zooplankton
Choanozoa,Choanoflagellatea,0,30,0,30,Zooplankton
Chordata,Appendicularia,0,288,0,288,Zooplankton
Chordata,Thaliacea,0,120,0,120,Zooplankton
Ciliophora,Oligotrichea,0,113,0,113,Zooplankton
Ciliophora,Gymnostomatea,0,11,0,11,Zooplankton
Ctenophora,Nuda,0,94,0,94,Zooplankton
Ctenophora,Tentaculata,0,82,0,82,Zooplankton
Myzozoa,Dinophyceae,3,3951,0,3954,Zooplankton
NULL,NULL,0,7,0,7,
