Species,Phylum,Class,Family
Acer saccharum,Tracheophyta,Magnoliopsida,Sapindaceae
Prunus virginiana,Tracheophyta,Magnoliopsida,Rosaceae
Acer rubrum,Tracheophyta,Magnoliopsida,Sapindaceae
Ostrya virginiana,Tracheophyta,Magnoliopsida,Betulaceae
Vaccinium angustifolium,Tracheophyta,Magnoliopsida,Ericaceae
Rubus idaeus,Tracheophyta,Magnoliopsida,Rosaceae
Corylus cornuta,Tracheophyta,Magnoliopsida,Betulaceae
Diervilla lonicera,Tracheophyta,Magnoliopsida,Caprifoliaceae
Amelanchier laevis,Tracheophyta,Magnoliopsida,Rosaceae
Pinus strobus,Tracheophyta,Pinopsida,Pinaceae
Quercus rubra,Tracheophyta,Magnoliopsida,Fagaceae
Viburnum rafinesquianum,Tracheophyta,Magnoliopsida,Adoxaceae
Acer spicatum,Tracheophyta,Magnoliopsida,Sapindaceae
Populus sp,Tracheophyta,Magnoliopsida,Salicaceae
Lonicera canadensis,Tracheophyta,Magnoliopsida,Caprifoliaceae
Rubus flagellaris,Tracheophyta,Magnoliopsida,Rosaceae
Tilia americana,Tracheophyta,Magnoliopsida,Malvaceae
Cornus rugosa,Tracheophyta,Magnoliopsida,Cornaceae
Toxicodendron radicans,Tracheophyta,Magnoliopsida,Anacardiaceae
Betula papyrifera,Tracheophyta,Magnoliopsida,Betulaceae
Quercus macrocarpa,Tracheophyta,Magnoliopsida,Fagaceae
Populus pinnata,Tracheophyta,Magnoliopsida,Salicaceae
Cornus racemosa,Tracheophyta,Magnoliopsida,Cornaceae
Rubus allegheniensis,Tracheophyta,Magnoliopsida,Rosaceae
Amelanchier gravida,Tracheophyta,Magnoliopsida,Rosaceae
Koeleria macrantha,Tracheophyta,Liliopsida,Poaceae
Chrysothamnus viscidiflorus,Tracheophyta,Magnoliopsida,Asteraceae
Pseudoroegneria spicata,Tracheophyta,Liliopsida,Poaceae
Artemisia tripartita,Tracheophyta,Magnoliopsida,Asteraceae
Poa secunda,Tracheophyta,Liliopsida,Poaceae
Arnica fulgens,Tracheophyta,Magnoliopsida,Asteraceae
Carex douglasii,Tracheophyta,Liliopsida,Cyperaceae
Phlox longifolia,Tracheophyta,Magnoliopsida,Polemoniaceae
Balsamorhiza sagittata,Tracheophyta,Magnoliopsida,Asteraceae
Hesperostipa comata,Tracheophyta,Liliopsida,Poaceae
Linanthus pungens,Tracheophyta,Magnoliopsida,Polemoniaceae
Phlox hoodii,Tracheophyta,Magnoliopsida,Polemoniaceae
Crepis acuminata,Tracheophyta,Magnoliopsida,Asteraceae
Allium textile,Tracheophyta,Liliopsida,Amaryllidaceae
Penstemon speciosus,Tracheophyta,Magnoliopsida,Plantaginaceae
Arabis holboellii,Tracheophyta,Magnoliopsida,Brassicaceae
Achnatherum hymenoides,Tracheophyta,Liliopsida,Poaceae
Erigeron corymbosus,Tracheophyta,Magnoliopsida,Asteraceae
Astragalus lentiginosus,Tracheophyta,Magnoliopsida,Fabaceae
Tetradymia canescens,Tracheophyta,Magnoliopsida,Asteraceae
Morphospecies ,NULL,NULL,NULL
Opuntia polyacantha,Tracheophyta,Magnoliopsida,Cactaceae
Elymus albicans,Tracheophyta,Liliopsida,Poaceae
Lomatium triternatum,Tracheophyta,Magnoliopsida,Apiaceae
Astragalus convallarius,Tracheophyta,Magnoliopsida,Fabaceae
Elymus elymoides,Tracheophyta,Liliopsida,Poaceae
Calochortus macrocarpus,Tracheophyta,Liliopsida,Liliaceae
Castilleja angustifolia,Tracheophyta,Magnoliopsida,Orobanchaceae
Erigeron engelmannii,Tracheophyta,Magnoliopsida,Asteraceae
Eriogonum microthecum,Tracheophyta,Magnoliopsida,Polygonaceae
Purshia tridentata,Tracheophyta,Magnoliopsida,Rosaceae
Allium acuminatum,Tracheophyta,Liliopsida,Amaryllidaceae
Lomatium sp,Tracheophyta,Magnoliopsida,Apiaceae
Antennaria sp,Ascomycota,Dothideomycetes,Venturiaceae
Viola praemorsa,Tracheophyta,Magnoliopsida,Violaceae
Gutierrezia sarothrae,Tracheophyta,Magnoliopsida,Asteraceae
