REALM,taxa_mod,Species_orig,Genus,species,mass_g,length_cm,source,notes,name_data_entry,date_searched
Marine,All,Acanthancora_cyanocrypta,,,,,,,,
Marine,All,Acris_gryllus,,,,,,,,
Marine,All,Acrosorium_ciliolatum,,,,,,,,
Marine,All,Aeschynomene_pratensis,,,,,,,,
Marine,All,Aglaophenia_sp,,,,,,,,
Marine,All,Ahredoderus_sayanus,,,,,,,,
Marine,All,Alcyonium_palmatum,,,,,,,,
Marine,All,Alcyonium_rudyi,,,,,,,,
Marine,All,Alectis_alexandrinus,,,,,,,,
Marine,All,Alepes_djedaba,,,,,,,,
Marine,All,Alpheus_sp,,,,,,,,
Marine,All,Alternanthera_philoxeroides,,,,,,,,
Marine,All,Ameiurus_natalis,,,,,,,,
Marine,All,Amphipod_tube-mat,,,,,,,,
Marine,All,Amphiuma_means,,,,,,,,
Marine,All,Anax_junis,,,,,,,,
Marine,All,Anguilla_anguilla,,,,,,,,
Marine,All,Annona_glabra,,,,,,,,
Marine,All,Anthias_anthias,,,,,,,,
Marine,All,Anthopleura_artemisia,,,,,,,,
Marine,All,Anthopleura_sola,,,,,,,,
Marine,All,Anthopleura_sp,,,,,,,,
Marine,All,Apalone_ferox,,,,,,,,
Marine,All,Aphredoderus_sayanus,,,,,,,,
Marine,All,Aphylla_williamsoni,,,,,,,,
Marine,All,Aplysia_sp,,,,,,,,
Marine,All,Apogon_fasciatus,,,,,,,,
Marine,All,Apogon_imberbis,,,,,,,,
Marine,All,Apogon_pharonis,,,,,,,,
Marine,All,Apogon_queketti,,,,,,,,
Marine,All,Apogon_smithi,,,,,,,,
Marine,All,Aporais_pespelicanti,,,,,,,,
Marine,All,Archidistoma_psammion,,,,,,,,
Marine,All,Argentina_sphyraena,,,,,,,,
Marine,All,Argyrosomus_regius,,,,,,,,
Marine,All,Arigomphus_pallidus,,,,,,,,
Marine,All,Ariosoma_balearicum,,,,,,,,
Marine,All,Aristeomorpha_foliacea,,,,,,,,
Marine,All,Aristeus_antennatus,,,,,,,,
Marine,All,Arnoglossus_sp,,,,,,,,
Marine,All,Aspitrigla_cuculus,,,,,,,,
Marine,All,Astrangia_lajollaensis,,,,,,,,
Marine,All,Astropecten_sp,,,,,,,,
Marine,All,Atherina_boyeri,,,,,,,,
Marine,All,Atherina_sp,,,,,,,,
Marine,All,Atherinomorus_lacunosus,,,,,,,,
Marine,All,Balanophyllia_elegans,,,,,,,,
Marine,All,Balanus_complex,,,,,,,,
Marine,All,Balistes_capriscus,,,,,,,,
Marine,All,Balistes_carolinensis,,,,,,,,
Marine,All,Barentsia_sp,,,,,,,,
Marine,All,Belenesox_belizanus,,,,,,,,
Marine,All,Belostoma_sp,,,,,,,,
Marine,All,Blade_kelp juv,,,,,,,,
Marine,All,Blady red_sp,,,,,,,,
Marine,All,Blennius_ocelatus,,,,,,,,
Marine,All,Blennius_sp,,,,,,,,
Marine,All,Bolinus_brandaris,,,,,,,,
Marine,All,Boops_boops,,,,,,,,
Marine,All,Bossiella_orbigniana,,,,,,,,
Marine,All,Bothus_podas,,,,,,,,
Marine,All,Brachymesia_gravida,,,,,,,,
Marine,All,Branching Red Algae_sp,,,,,,,,
Marine,All,Bregmasceros_atlanticus,,,,,,,,
Marine,All,Buglossidium_luteum,,,,,,,,
Marine,All,Bugula_californica,,,,,,,,
Marine,All,Bugula_neritina,,,,,,,,
Marine,All,Calappa_granulata,,,,,,,,
