"rarefyID","x","y","start","end"
"10_359170",-95.12,47.4,1984,1996
"18_335699",-112.33,44.33,1923,1973
"33_614506",-4.217,50.25,1992,2009
"39_407478",-71.75,43.91,1970,2015
"41_453357",-82.48,39.5,1923,1940
"42_605049",-0.38352,51.2965,1950,1979
"44_296972",-122.33,44.33,1962,1977
"45_5269674",-149,-17.5,2005,2010
"46_600642",-5.277,51.698,1928,1979
"47_299283",-107.446257,50.845447,1952,1977
"51_2143181",25.7482,61.9241,1964,1977
"53_394335",-73.179,45.564,1966,1976
"54_703631",-65.5,18.1667,1991,2014
"56_433453",-106.43,34.2,1989,2008
"57_400055",-89.4946,43.9928,1981,2012
"58_703632",-65.43,18.19,1991,2008
"59_470660",-103.501,30.3226,1977,2002
"60_2844548",-79.8465,9.1521,1982,2005
"63_594109",-0.180928,52.4221,1959,1988
"67_1485215",16.46,-28.62,1998,2004
"67_1517273",18.29,-33.47,1998,2003
"67_1519459",18.46,-33.83,2001,2005
"67_1520188",18.48,-33.8633333330926,1985,2006
"67_1526022",19.1080000000292,-34.3459999999902,1995,2006
"67_1561066",25.055,-33.97,2000,2005
"67_1586662",31.02,-29.87,1997,2004
"67_1485947",16.65,-28.5,1997,2002
"67_1511451",18.32,-32.08,1999,2006
"67_1512909",18.35,-32.22,2000,2006
"67_1513632",18.1774999998334,-32.78,1994,2006
"67_1513638",18.42,-32.33,1992,2003
"67_1514361",18.2349999995431,-32.8425000000333,1994,2006
"67_1515087",18.0919999998976,-33.1719999999829,1993,2005
"67_1519466",18.75,-33.29,2001,2006
"67_1520185",18.35,-34.13,1994,2005
"67_1520189",18.51,-33.83,2002,2006
"67_1520915",18.4659999999902,-34.0959999999903,1993,2006
"67_1520916",18.5124999999762,-34.0474999999476,1983,2006
"67_1520921",18.765,-33.63,1996,2005
"67_1522376",18.76,-34.05,1996,2004
"67_1522381",18.96,-33.665,1993,2006
"67_1523105",18.82,-34.085,1993,2005
"67_1523834",18.9,-34.16,1995,2005
"67_1525292",19.015,-34.34,1994,2006
"67_1525296",19.21,-34.02,1993,2005
"67_1526751",19.17,-34.41,1993,2006
"67_1527481",19.35,-34.41,2001,2005
"67_1534051",20.37,-34.43,1994,2004
"67_1536313",24.17,-28.67,2000,2005
"67_1536319",24.48,-28.18,1997,2006
"67_1537049",24.52,-28.21,1997,2006
"67_1537782",24.753333333228,-27.9166666669074,1997,2004
"67_1538529",25.59,-26.55,1994,2005
"67_1539188",22.62,-32.32,1995,2005
"67_1539917",22.62,-32.36,1997,2004
"67_1539965",24.77,-28.48,2000,2002
"67_1541421",24.82,-28.805,2000,2002
"67_1542815",22.05,-34.1,1994,2005
"67_1542895",25.67,-27.68,1993,2003
"67_1545007",22.45,-33.97,2002,2004
"67_1545737",22.665,-33.97,1993,2005
"67_1545783",24.75,-30.25,2003,2006
"67_1546466",22.75,-34,2000,2005
"67_1546522",25.25,-29.53,1992,2003
"67_1547196",22.87,-34.02,1996,2006
"67_1547303",27.46,-25.32,1994,2005
"67_1547926",22.95,-34.07,1999,2005
